[2022-12-14 15:22:53] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-14 15:22:53] [INFO   ] configuration file was loaded from resources directory.
[2022-12-14 15:22:54] [INFO   ] Thread dealer starting.
[2022-12-14 15:22:54] [SEVERE ] placing card 64 in slot 0
[2022-12-14 15:22:54] [SEVERE ] placing card 71 in slot 1
[2022-12-14 15:22:54] [SEVERE ] placing card 27 in slot 2
[2022-12-14 15:22:54] [SEVERE ] placing card 45 in slot 3
[2022-12-14 15:22:54] [SEVERE ] placing card 65 in slot 4
[2022-12-14 15:22:54] [SEVERE ] placing card 31 in slot 5
[2022-12-14 15:22:54] [SEVERE ] placing card 42 in slot 6
[2022-12-14 15:22:55] [SEVERE ] placing card 25 in slot 7
[2022-12-14 15:22:55] [SEVERE ] placing card 61 in slot 8
[2022-12-14 15:22:55] [SEVERE ] placing card 77 in slot 9
[2022-12-14 15:22:55] [SEVERE ] placing card 51 in slot 10
[2022-12-14 15:22:55] [SEVERE ] placing card 33 in slot 11
[2022-12-14 15:22:56] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:22:56] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:22:57] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:22:57] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:22:58] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:22:58] [SEVERE ] player 1 placing token on slot 6
[2022-12-14 15:22:58] [SEVERE ] Key 59 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] removing player 1 token from slot 6
[2022-12-14 15:22:59] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:22:59] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:22:59] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:22:59] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:22:59] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:22:59] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:22:59] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:00] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:00] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] player 1 placing token on slot 6
[2022-12-14 15:23:00] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:00] [SEVERE ] Key 59 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:00] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:00] [SEVERE ] Key 59 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] player 1 placing token on slot 7
[2022-12-14 15:23:00] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:00] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] Key 59 was pressed by player 1
[2022-12-14 15:23:00] [SEVERE ] removing player 1 token from slot 7
[2022-12-14 15:23:01] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:23:01] [SEVERE ] removing player 1 token from slot 6
[2022-12-14 15:23:01] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:01] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:01] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:01] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:01] [SEVERE ] Key 59 was pressed by player 1
[2022-12-14 15:23:01] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:23:02] [SEVERE ] Key 59 was pressed by player 1
[2022-12-14 15:23:02] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:23:02] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:02] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:02] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:02] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:02] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:02] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:02] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:02] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:03] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:03] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:03] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:03] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:03] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:03] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:03] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:03] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:03] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:03] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:04] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:04] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:04] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:04] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:04] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:04] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:04] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:04] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:04] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:04] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:04] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:04] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:05] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:05] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:05] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:05] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:05] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:05] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:05] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:05] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:05] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:05] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:05] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:05] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:06] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:06] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:06] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:06] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:06] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:06] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:07] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:07] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:08] [SEVERE ] Key 73 was pressed by player 1
[2022-12-14 15:23:08] [SEVERE ] player 1 placing token on slot 1
[2022-12-14 15:23:09] [SEVERE ] Key 73 was pressed by player 1
[2022-12-14 15:23:09] [SEVERE ] removing player 1 token from slot 1
[2022-12-14 15:23:09] [SEVERE ] Key 73 was pressed by player 1
[2022-12-14 15:23:09] [SEVERE ] player 1 placing token on slot 1
[2022-12-14 15:23:10] [SEVERE ] Key 87 was pressed by player 0
[2022-12-14 15:23:10] [SEVERE ] player 0 placing token on slot 1
[2022-12-14 15:23:10] [SEVERE ] Key 69 was pressed by player 0
[2022-12-14 15:23:10] [SEVERE ] player 0 placing token on slot 2
[2022-12-14 15:23:11] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:11] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:13] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:13] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:13] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:23:15] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:23:17] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:17] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:18] [SEVERE ] Key 73 was pressed by player 1
[2022-12-14 15:23:18] [SEVERE ] removing player 1 token from slot 1
[2022-12-14 15:23:19] [SEVERE ] Key 73 was pressed by player 1
[2022-12-14 15:23:19] [SEVERE ] player 1 placing token on slot 1
[2022-12-14 15:23:37] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:37] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:37] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:37] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:38] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:38] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:38] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:38] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:39] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:39] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:39] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:39] [SEVERE ] player 1 placing token on slot 3
[2022-12-14 15:23:40] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:40] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:40] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:40] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:41] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:41] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:23:41] [SEVERE ] Key 73 was pressed by player 1
[2022-12-14 15:23:41] [SEVERE ] removing player 1 token from slot 1
[2022-12-14 15:23:46] [SEVERE ] Key 80 was pressed by player 1
[2022-12-14 15:23:46] [SEVERE ] removing player 1 token from slot 3
[2022-12-14 15:23:47] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:23:47] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:23:48] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:48] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:23:49] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:23:49] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:23:50] [SEVERE ] Key 83 was pressed by player 0
[2022-12-14 15:23:50] [SEVERE ] player 0 placing token on slot 5
[2022-12-14 15:23:51] [SEVERE ] Key 83 was pressed by player 0
[2022-12-14 15:23:51] [SEVERE ] removing player 0 token from slot 5
[2022-12-14 15:23:52] [SEVERE ] Key 68 was pressed by player 0
[2022-12-14 15:23:52] [SEVERE ] player 0 placing token on slot 6
[2022-12-14 15:23:52] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:23:52] [SEVERE ] player 1 placing token on slot 6
[2022-12-14 15:23:53] [SEVERE ] Key 46 was pressed by player 1
[2022-12-14 15:23:53] [SEVERE ] player 1 placing token on slot 10
[2022-12-14 15:23:54] [SEVERE ] Key 47 was pressed by player 1
[2022-12-14 15:23:54] [SEVERE ] player 1 placing token on slot 11
[2022-12-14 15:23:55] [SEVERE ] removing player 1 token from slot 6
[2022-12-14 15:23:55] [SEVERE ] removing player 1 token from slot 10
[2022-12-14 15:23:55] [SEVERE ] removing player 1 token from slot 11
[2022-12-14 15:23:55] [SEVERE ] setting player 1 score to 1
[2022-12-14 15:23:55] [SEVERE ] removing player 0 token from slot 2
[2022-12-14 15:23:55] [SEVERE ] removing tokens from slot 6
[2022-12-14 15:23:55] [SEVERE ] removing card from slot 6
[2022-12-14 15:23:55] [SEVERE ] removing tokens from slot 10
[2022-12-14 15:23:55] [SEVERE ] removing card from slot 10
[2022-12-14 15:23:55] [SEVERE ] removing tokens from slot 11
[2022-12-14 15:23:55] [SEVERE ] removing card from slot 11
[2022-12-14 15:23:55] [SEVERE ] removing tokens from slot 1
[2022-12-14 15:23:55] [SEVERE ] removing card from slot 1
[2022-12-14 15:23:55] [SEVERE ] placing card 30 in slot 1
[2022-12-14 15:23:55] [SEVERE ] placing card 28 in slot 6
[2022-12-14 15:23:55] [SEVERE ] placing card 47 in slot 10
[2022-12-14 15:23:55] [SEVERE ] placing card 75 in slot 11
[2022-12-14 15:24:03] [SEVERE ] Key 44 was pressed by player 1
[2022-12-14 15:24:03] [SEVERE ] player 1 placing token on slot 9
[2022-12-14 15:24:04] [SEVERE ] Key 44 was pressed by player 1
[2022-12-14 15:24:04] [SEVERE ] removing player 1 token from slot 9
[2022-12-14 15:24:04] [SEVERE ] Key 46 was pressed by player 1
[2022-12-14 15:24:04] [SEVERE ] player 1 placing token on slot 10
[2022-12-14 15:24:04] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:24:04] [SEVERE ] player 1 placing token on slot 6
[2022-12-14 15:24:05] [SEVERE ] Key 69 was pressed by player 0
[2022-12-14 15:24:05] [SEVERE ] player 0 placing token on slot 2
[2022-12-14 15:24:07] [SEVERE ] Key 87 was pressed by player 0
[2022-12-14 15:24:07] [SEVERE ] removing player 0 token from slot 1
[2022-12-14 15:24:09] [SEVERE ] Key 68 was pressed by player 0
[2022-12-14 15:24:09] [SEVERE ] removing player 0 token from slot 6
[2022-12-14 15:24:10] [SEVERE ] Key 70 was pressed by player 0
[2022-12-14 15:24:10] [SEVERE ] player 0 placing token on slot 7
[2022-12-14 15:24:11] [SEVERE ] Key 70 was pressed by player 0
[2022-12-14 15:24:11] [SEVERE ] removing player 0 token from slot 7
[2022-12-14 15:24:11] [SEVERE ] Key 68 was pressed by player 0
[2022-12-14 15:24:11] [SEVERE ] player 0 placing token on slot 6
[2022-12-14 15:24:12] [SEVERE ] Key 68 was pressed by player 0
[2022-12-14 15:24:12] [SEVERE ] removing player 0 token from slot 6
[2022-12-14 15:24:12] [SEVERE ] Key 69 was pressed by player 0
[2022-12-14 15:24:12] [SEVERE ] removing player 0 token from slot 2
[2022-12-14 15:24:13] [SEVERE ] Key 69 was pressed by player 0
[2022-12-14 15:24:13] [SEVERE ] player 0 placing token on slot 2
[2022-12-14 15:24:13] [SEVERE ] Key 68 was pressed by player 0
[2022-12-14 15:24:13] [SEVERE ] player 0 placing token on slot 6
[2022-12-14 15:24:15] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:24:15] [SEVERE ] player 1 placing token on slot 2
[2022-12-14 15:24:16] [SEVERE ] Key 68 was pressed by player 0
[2022-12-14 15:24:16] [SEVERE ] removing player 0 token from slot 6
[2022-12-14 15:24:17] [SEVERE ] Key 70 was pressed by player 0
[2022-12-14 15:24:17] [SEVERE ] player 0 placing token on slot 7
[2022-12-14 15:24:19] [SEVERE ] Key 44 was pressed by player 1
[2022-12-14 15:24:25] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:24:25] [SEVERE ] removing player 1 token from slot 6
[2022-12-14 15:24:26] [SEVERE ] Key 44 was pressed by player 1
[2022-12-14 15:24:26] [SEVERE ] player 1 placing token on slot 9
[2022-12-14 15:24:26] [SEVERE ] Key 44 was pressed by player 1
[2022-12-14 15:24:26] [SEVERE ] removing player 1 token from slot 9
[2022-12-14 15:24:27] [SEVERE ] Key 46 was pressed by player 1
[2022-12-14 15:24:27] [SEVERE ] removing player 1 token from slot 10
[2022-12-14 15:24:27] [SEVERE ] Key 79 was pressed by player 1
[2022-12-14 15:24:27] [SEVERE ] removing player 1 token from slot 2
[2022-12-14 15:24:56] [SEVERE ] removing tokens from slot 0
[2022-12-14 15:24:56] [SEVERE ] removing card from slot 0
[2022-12-14 15:24:56] [SEVERE ] removing tokens from slot 1
[2022-12-14 15:24:56] [SEVERE ] removing card from slot 1
[2022-12-14 15:24:56] [SEVERE ] removing tokens from slot 2
[2022-12-14 15:24:56] [SEVERE ] removing card from slot 2
[2022-12-14 15:24:56] [SEVERE ] removing tokens from slot 3
[2022-12-14 15:24:56] [SEVERE ] removing card from slot 3
[2022-12-14 15:24:56] [SEVERE ] removing tokens from slot 4
[2022-12-14 15:24:56] [SEVERE ] removing card from slot 4
[2022-12-14 15:24:57] [SEVERE ] removing tokens from slot 5
[2022-12-14 15:24:57] [SEVERE ] removing card from slot 5
[2022-12-14 15:24:57] [SEVERE ] removing tokens from slot 6
[2022-12-14 15:24:57] [SEVERE ] removing card from slot 6
[2022-12-14 15:24:57] [SEVERE ] removing tokens from slot 7
[2022-12-14 15:24:57] [SEVERE ] removing card from slot 7
[2022-12-14 15:24:57] [SEVERE ] removing tokens from slot 8
[2022-12-14 15:24:57] [SEVERE ] removing card from slot 8
[2022-12-14 15:24:57] [SEVERE ] removing tokens from slot 9
[2022-12-14 15:24:57] [SEVERE ] removing card from slot 9
[2022-12-14 15:24:57] [SEVERE ] removing tokens from slot 10
[2022-12-14 15:24:57] [SEVERE ] removing card from slot 10
[2022-12-14 15:24:57] [SEVERE ] removing tokens from slot 11
[2022-12-14 15:24:57] [SEVERE ] removing card from slot 11
[2022-12-14 15:24:57] [SEVERE ] placing card 55 in slot 0
[2022-12-14 15:24:57] [SEVERE ] placing card 38 in slot 1
[2022-12-14 15:24:58] [SEVERE ] placing card 8 in slot 2
[2022-12-14 15:24:58] [SEVERE ] placing card 53 in slot 3
[2022-12-14 15:24:58] [SEVERE ] placing card 21 in slot 4
[2022-12-14 15:24:58] [SEVERE ] placing card 76 in slot 5
[2022-12-14 15:24:58] [SEVERE ] placing card 40 in slot 6
[2022-12-14 15:24:58] [SEVERE ] placing card 68 in slot 7
[2022-12-14 15:24:58] [SEVERE ] placing card 59 in slot 8
[2022-12-14 15:24:58] [SEVERE ] placing card 39 in slot 9
[2022-12-14 15:24:58] [SEVERE ] placing card 50 in slot 10
[2022-12-14 15:24:58] [SEVERE ] placing card 4 in slot 11
[2022-12-14 15:25:19] [SEVERE ] Key 75 was pressed by player 1
[2022-12-14 15:25:19] [SEVERE ] player 1 placing token on slot 5
[2022-12-14 15:25:20] [SEVERE ] Key 76 was pressed by player 1
[2022-12-14 15:25:20] [SEVERE ] player 1 placing token on slot 6
[2022-12-14 15:25:21] [SEVERE ] Key 83 was pressed by player 0
[2022-12-14 15:25:21] [SEVERE ] player 0 placing token on slot 5
[2022-12-14 15:25:21] [SEVERE ] Key 68 was pressed by player 0
[2022-12-14 15:25:21] [SEVERE ] player 0 placing token on slot 6
[2022-12-14 15:25:22] [SEVERE ] Key 87 was pressed by player 0
[2022-12-14 15:25:22] [SEVERE ] player 0 placing token on slot 1
[2022-12-14 15:25:23] [SEVERE ] Key 44 was pressed by player 1
[2022-12-14 15:25:23] [SEVERE ] player 1 placing token on slot 9
[2022-12-14 15:25:24] [SEVERE ] Key 44 was pressed by player 1
[2022-12-14 15:25:24] [SEVERE ] removing player 1 token from slot 9
[2022-12-14 15:25:24] [SEVERE ] Key 46 was pressed by player 1
[2022-12-14 15:25:24] [SEVERE ] player 1 placing token on slot 10
[2022-12-14 15:25:25] [SEVERE ] Key 46 was pressed by player 1
[2022-12-14 15:25:25] [SEVERE ] removing player 1 token from slot 10
[2022-12-14 15:25:25] [SEVERE ] Key 47 was pressed by player 1
[2022-12-14 15:25:25] [SEVERE ] player 1 placing token on slot 11
[2022-12-14 15:25:26] [SEVERE ] removing player 1 token from slot 5
[2022-12-14 15:25:26] [SEVERE ] removing player 1 token from slot 6
[2022-12-14 15:25:26] [SEVERE ] removing player 1 token from slot 11
[2022-12-14 15:25:26] [SEVERE ] setting player 1 score to 2
[2022-12-14 15:25:26] [SEVERE ] removing player 0 token from slot 0
[2022-12-14 15:25:26] [SEVERE ] removing tokens from slot 5
[2022-12-14 15:25:26] [SEVERE ] removing card from slot 5
[2022-12-14 15:25:26] [SEVERE ] removing tokens from slot 6
[2022-12-14 15:25:26] [SEVERE ] removing card from slot 6
[2022-12-14 15:25:26] [SEVERE ] removing tokens from slot 11
[2022-12-14 15:25:26] [SEVERE ] removing card from slot 11
[2022-12-14 15:25:26] [SEVERE ] removing tokens from slot 1
[2022-12-14 15:25:26] [SEVERE ] removing card from slot 1
[2022-12-14 15:25:26] [SEVERE ] placing card 1 in slot 1
[2022-12-14 15:25:26] [SEVERE ] placing card 20 in slot 5
[2022-12-14 15:25:26] [SEVERE ] placing card 79 in slot 6
[2022-12-14 15:25:27] [SEVERE ] placing card 35 in slot 11
